"id","order_by","module_id","lesson","product_id","background_colour"
2,12,3,"Lengths - L3",108,"#4B9FE1"
3,13,4,"Advanced",109,"#3778C2"
4,11,3,"Lengths - L2",107,"#4B9FE1"
5,9,3,"Lengths - L1",106,"#4B9FE1"
6,5,2,"Improvers - 1",102,"#63BCE5"
7,6,2,"Improvers - 2",103,"#63BCE5"
8,7,2,"Improvers - C",105,"#63BCE5"
9,1,1,"Beginners - 1",84,"#7ED5EA"
10,3,1,"Beginners - C",100,"#7ED5EA"
11,2,1,"Beginners - 2",101,"#7ED5EA"
12,14,4,"Adult Begin & Improvers",110,"#28559A"
13,16,1,"Beginners 1 - BG",114,"#68BB59"
14,17,2,"Improvers 1 - BG",112,"#ACDF87"
15,18,2,"Improvers 2 - BG",113,"#4C9A2A"
16,19,4,"Advanced - BG",111,"#76BA1B"
17,20,1,"Test Classes",1763,"#ff0000"
18,21,1,"Beginners 2 - BG",114,"#76BA1B"
19,22,1,"Beginners 8+",42259,"#7ED5EA"
